rank,case,repeat,policy,prefill_ms,token_ids,relative_logit_l2,logit_max_abs,logit_cosine,logit_kl_vanilla_to_policy,greedy_first_equal,scope,concurrent_other_workload,hidden_diagnostic,fixed_current_routes_diagnostic,oracle_kind,oracle_prediction_calls,dataset_request,hf_reference_greedy_equal,hf_reference_cosine,hf_reference_max_abs,hf_reference_relative_l2,hf_reference_kl_to_policy,oracle_realized_topk_recall_mean,oracle_realized_topk_recall_min,group,M_per_source,profiled_diagnostic
3,0,2,vanilla,86.88020007684827,[33],0.0,0.0,0.9999999403953552,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9969507455825806,1.78125,0.07822652906179428,1.4420343177334871e-05,,,chartqa_0,465,
3,0,2,libra_oracle,186.50064198300242,[33],0.06494588404893875,1.84375,0.9978898763656616,4.410223846207373e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9987016320228577,0.8125,0.05094296857714653,6.892167220939882e-06,0.9092574082314968,0.7967742085456848,chartqa_0,465,
3,0,2,libra_frozen,197.92115315794945,[33],0.014752820134162903,0.21875,0.999891459941864,7.166597981722589e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9970039129257202,1.84375,0.07748563587665558,1.4761723832634743e-05,,,chartqa_0,465,
3,0,2,libra,195.86521293967962,[33],0.14826099574565887,1.578125,0.988952100276947,2.2884411009727046e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9904251098632812,1.8125,0.1381007879972458,5.0756257223838475e-06,,,chartqa_0,465,
3,0,2,libra_frozen_oracle,198.2259890064597,[33],0.014177663251757622,0.25,0.999900221824646,1.3156434164329767e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9969099164009094,1.75,0.07867255806922913,1.4121786080067977e-05,1.0,1.0,chartqa_0,465,
3,0,3,libra,187.9655122756958,[33],0.14826099574565887,1.578125,0.988952100276947,2.2884411009727046e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9904251098632812,1.8125,0.1381007879972458,5.0756257223838475e-06,,,chartqa_0,465,
3,0,3,libra_oracle,185.67404197528958,[33],0.06494588404893875,1.84375,0.9978898763656616,4.410223846207373e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9987016320228577,0.8125,0.05094296857714653,6.892167220939882e-06,0.9092574082314968,0.7967742085456848,chartqa_0,465,
3,0,3,vanilla,86.82975685223937,[33],0.0,0.0,0.9999999403953552,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9969507455825806,1.78125,0.07822652906179428,1.4420343177334871e-05,,,chartqa_0,465,
3,0,3,libra_frozen,186.39618018642068,[33],0.014752820134162903,0.21875,0.999891459941864,7.166597981722589e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9970039129257202,1.84375,0.07748563587665558,1.4761723832634743e-05,,,chartqa_0,465,
3,0,3,libra_frozen_oracle,184.56241488456726,[33],0.014177663251757622,0.25,0.999900221824646,1.3156434164329767e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9969099164009094,1.75,0.07867255806922913,1.4121786080067977e-05,1.0,1.0,chartqa_0,465,
