run_id,iteration_id,layer,critical_rank,critical_physical_gpu,t_layer_ms,t_attention_ms,t_qkv_max_ms,t_attention_core_max_ms,t_attention_output_max_ms,t_norm_router_ms,t_input_norm_max_ms,t_post_attention_norm_max_ms,t_router_projection_max_ms,t_router_topk_max_ms,t_dispatch_ms,dispatch_basis,t_expert_max_ms,expert_critical_rank,t_combine_ms,t_moe_max_ms,expert_fraction,exposed_nonexpert_fraction,t_optimistic_ms,oracle_speedup,routed_token_assignments,critical_rank_local_assignments,max_local_expert_batch
tp4_phase1_vision896,0,0,1,5,2.47161602973938,1.3547840118408203,0.08841600269079208,0.19379200041294098,0.8501440286636353,0.2415039986371994,0.061535999178886414,0.02985600009560585,0.056063998490571976,0.09404800087213516,0.0,structurally_absent_tp4_ep4_dp1,0.4276160001754761,0,0.7867839932441711,1.0849920511245728,0.17301069220714116,0.6458478951709747,2.383072003722191,1.0371554136337002,6392,2027,572
tp4_phase1_vision896,0,1,2,6,1.950592041015625,0.8872640132904053,0.0735040009021759,0.1947840005159378,0.799232006072998,0.20003199949860573,0.02812799997627735,0.02703999914228916,0.054048001766204834,0.09081599861383438,0.0,structurally_absent_tp4_ep4_dp1,0.411871999502182,0,0.7863360047340393,1.0310399532318115,0.2111523018866264,0.5574184606140825,1.8736320175230503,1.0410753140279467,6392,1630,566
tp4_phase1_vision896,0,2,3,7,1.984671950340271,0.9219840168952942,0.0729919970035553,0.19100800156593323,0.8334720134735107,0.2042559999972582,0.02937600016593933,0.028575999662280083,0.05536000058054924,0.09094399958848953,0.0,structurally_absent_tp4_ep4_dp1,0.4154239892959595,0,0.786624014377594,1.0310399532318115,0.20931619919591005,0.567469105763025,1.9128640312701464,1.037539478967799,6392,1762,453
tp4_phase1_vision896,0,3,2,6,1.9456959962844849,0.8782719969749451,0.07327999919652939,0.17923200130462646,0.7907840013504028,0.19990400411188602,0.027456000447273254,0.027615999802947044,0.05644800141453743,0.0883840024471283,0.0,structurally_absent_tp4_ep4_dp1,0.4214720129966736,0,0.7837759852409363,1.0354880094528198,0.2166176081985673,0.5541338436969206,1.8619519863277674,1.0449764604950322,6392,1186,234
tp4_phase1_vision896,0,4,3,7,1.9619200229644775,0.9038400053977966,0.0735040009021759,0.18265600502490997,0.8164160251617432,0.1970559973269701,0.02783999964594841,0.027615999802947044,0.053727999329566956,0.08787199854850769,0.0,structurally_absent_tp4_ep4_dp1,0.42179200053215027,0,0.7895039916038513,1.0254720449447632,0.21498939589536328,0.5611319471939044,1.890399994328618,1.0378332780630695,6392,1642,231
tp4_phase1_vision896,0,5,3,7,1.9248319864273071,0.8707839846611023,0.07622399926185608,0.17926399409770966,0.7813439965248108,0.20384000055491924,0.02876799926161766,0.02864000014960766,0.05804799869656563,0.0883840024471283,0.0,structurally_absent_tp4_ep4_dp1,0.4232639968395233,0,0.7746880054473877,1.022528052330017,0.21989659348146345,0.5582949539458963,1.8493119906634092,1.0408368064151288,6392,1699,419
tp4_phase1_vision896,0,6,1,5,1.924191951751709,0.8952320218086243,0.0785600021481514,0.18377600610256195,0.8059520125389099,0.20425599813461304,0.02937600016593933,0.02848000079393387,0.057792000472545624,0.08860799670219421,0.0,structurally_absent_tp4_ep4_dp1,0.4017919898033142,0,0.7486400008201599,0.9965119957923889,0.20881076310372182,0.57140246270249,1.8481280207633972,1.0411572846327455,6392,2046,478
tp4_phase1_vision896,0,7,2,6,1.9617279767990112,0.8734719753265381,0.07411199808120728,0.1834239959716797,0.7858880162239075,0.22604799456894398,0.03001599945127964,0.04102399945259094,0.061535999178886414,0.09347199648618698,0.0,structurally_absent_tp4_ep4_dp1,0.43884798884391785,0,0.7969279885292053,1.0559359788894653,0.22370481230531994,0.560485440845672,1.8964479584246874,1.0344222566637418,6392,1057,329
tp4_phase1_vision896,0,8,1,5,2.0044479370117188,0.926688015460968,0.07945600152015686,0.208639994263649,0.8398399949073792,0.22857599705457687,0.03359999880194664,0.043327998369932175,0.060575999319553375,0.09107200056314468,0.0,structurally_absent_tp4_ep4_dp1,0.42211198806762695,0,0.800383985042572,1.0456639528274536,0.210587653724208,0.5763502215167741,1.955647997558117,1.0249533349122824,6392,1528,387
tp4_phase1_vision896,0,9,2,6,1.9673919677734375,0.9000959992408752,0.07769600301980972,0.18246400356292725,0.8107839822769165,0.21238400042057037,0.03126399964094162,0.028416000306606293,0.05958399921655655,0.09312000125646591,0.0,structurally_absent_tp4_ep4_dp1,0.42182400822639465,0,0.786624014377594,1.0345920324325562,0.21440771088629929,0.5654592566627564,1.8991040140390396,1.0359579850443064,6392,1013,173
tp4_phase1_vision896,0,10,3,7,2.1759679317474365,0.9189760088920593,0.07260800153017044,0.20848000049591064,0.8304960131645203,0.21635199710726738,0.031808000057935715,0.02879999950528145,0.06191999837756157,0.09382399916648865,0.0,structurally_absent_tp4_ep4_dp1,0.5370240211486816,0,0.9772160053253174,1.2242560386657715,0.24679776448608698,0.5217576920297664,2.112544011324644,1.030022532114265,6392,1694,483
tp4_phase1_vision896,0,11,3,7,2.021087884902954,0.9205120205879211,0.08070400357246399,0.18748800456523895,0.831712007522583,0.21238399669528008,0.030400000512599945,0.030751999467611313,0.058559998869895935,0.09267199784517288,0.0,structurally_absent_tp4_ep4_dp1,0.42371198534965515,0,0.8266559839248657,1.068992018699646,0.20964550256061745,0.5605377310633868,1.959552001208067,1.0314030368456413,6392,1349,309
tp4_phase1_vision896,0,12,2,6,2.0291519165039062,0.9341760277748108,0.07561600208282471,0.19120000302791595,0.8459519743919373,0.20835200138390064,0.028575999662280083,0.029791999608278275,0.058559998869895935,0.09142400324344635,0.0,structurally_absent_tp4_ep4_dp1,0.43587198853492737,0,0.8141120076179504,1.0628479719161987,0.2148050054753445,0.563056920413929,1.9566400367766619,1.0370593866855036,6392,1255,458
tp4_phase1_vision896,0,13,3,7,1.9657280445098877,0.8847039937973022,0.0769599974155426,0.18163199722766876,0.7967360019683838,0.2102080024778843,0.029632000252604485,0.028736000880599022,0.05878400057554245,0.09305600076913834,0.0,structurally_absent_tp4_ep4_dp1,0.4240640103816986,0,0.8122239708900452,1.0487680435180664,0.21572872787060934,0.5570007506039216,1.9071359671652317,1.0307225485510334,6392,784,147
tp4_phase1_vision896,0,14,3,7,2.008415937423706,0.9267200231552124,0.07407999783754349,0.19014400243759155,0.8370239734649658,0.2061119992285967,0.028960000723600388,0.03001599945127964,0.05632000043988228,0.09081599861383438,0.0,structurally_absent_tp4_ep4_dp1,0.42767998576164246,0,0.8026559948921204,1.0490880012512207,0.21294393147977536,0.5640425378405175,1.9354880172759295,1.0376793446907606,6392,1366,167
tp4_phase1_vision896,0,15,2,6,1.9680960178375244,0.8993920087814331,0.0772479996085167,0.18537600338459015,0.8107839822769165,0.2067520022392273,0.029791999608278275,0.02940800040960312,0.057312000542879105,0.0902400016784668,0.0,structurally_absent_tp4_ep4_dp1,0.41200000047683716,0,0.7915840148925781,1.0360640287399292,0.20933938016374246,0.5620376246866517,1.8977280259132385,1.0370801247404369,6392,1617,320
tp4_phase1_vision896,0,16,2,6,1.9896320104599,0.9336000084877014,0.07711999863386154,0.1881600022315979,0.8462399840354919,0.21222399733960629,0.030271999537944794,0.030079999938607216,0.05827200040221214,0.09359999746084213,0.0,structurally_absent_tp4_ep4_dp1,0.4182719886302948,0,0.7760319709777832,1.0236159563064575,0.21022580378248537,0.5758974522944333,1.921855976805091,1.0352659275579434,6392,1799,414
tp4_phase1_vision896,0,17,1,5,1.9798719882965088,0.8893439769744873,0.07580800354480743,0.1826239973306656,0.8030719757080078,0.21782400272786617,0.029664000496268272,0.031231999397277832,0.060575999319553375,0.0963520035147667,0.0,structurally_absent_tp4_ep4_dp1,0.4267520010471344,0,0.8174399733543396,1.0578240156173706,0.21554524917255577,0.5592119017022742,1.924607953056693,1.0287144377388884,6392,1303,263
tp4_phase1_vision896,0,18,3,7,2.0038399696350098,0.9295039772987366,0.07673600316047668,0.19379200041294098,0.8397120237350464,0.21126400120556355,0.029600000008940697,0.030271999537944794,0.05833600088953972,0.09305600076913834,0.0,structurally_absent_tp4_ep4_dp1,0.41708800196647644,0,0.7871360182762146,1.0420479774475098,0.2081443669588281,0.5692909592536403,1.9279039967805147,1.039387839322551,6392,1162,178
tp4_phase1_vision896,0,19,2,6,1.9696320295333862,0.8611519932746887,0.0727040022611618,0.18783999979496002,0.7727360129356384,0.21286399848759174,0.028575999662280083,0.03155200183391571,0.05913599953055382,0.09359999746084213,0.0,structurally_absent_tp4_ep4_dp1,0.42825600504875183,0,0.8263360261917114,1.076192021369934,0.21742944805289718,0.5452876352831849,1.900352017953992,1.0364564096150903,6392,1380,221
tp4_phase1_vision896,0,20,3,7,1.9860800504684448,0.8925120234489441,0.07280000299215317,0.18476800620555878,0.8037760257720947,0.2088640034198761,0.029952000826597214,0.030751999467611313,0.058880001306533813,0.08928000181913376,0.0,structurally_absent_tp4_ep4_dp1,0.4330559968948364,0,0.8182719945907593,1.0618879795074463,0.21804559025337075,0.5545476510924346,1.9196480214595795,1.034606359221184,6392,1253,215
tp4_phase1_vision896,0,21,2,6,1.9358079433441162,0.8672320246696472,0.07555200159549713,0.18160000443458557,0.7778559923171997,0.20655999891459942,0.028863999992609024,0.030079999938607216,0.05769599974155426,0.08991999924182892,0.0,structurally_absent_tp4_ep4_dp1,0.42156800627708435,0,0.7929919958114624,1.036512017250061,0.21777367312008436,0.554699668051401,1.866784019395709,1.0369747776021516,6392,1849,296
tp4_phase1_vision896,0,22,3,7,2.021343946456909,0.9345279932022095,0.07785599678754807,0.18982400000095367,0.8451520204544067,0.2164160031825304,0.031007999554276466,0.031231999397277832,0.06275200098752975,0.09142400324344635,0.0,structurally_absent_tp4_ep4_dp1,0.4201599955558777,0,0.8028159737586975,1.0546239614486694,0.20786170324567999,0.5693954254555043,1.9537599701434374,1.0345917499315487,6392,1858,315
tp4_phase1_vision896,0,23,3,7,1.9433599710464478,0.8868160247802734,0.07772800326347351,0.18326400220394135,0.7987200021743774,0.21356800012290478,0.029120000079274178,0.031647998839616776,0.06185600161552429,0.09094399958848953,0.0,structurally_absent_tp4_ep4_dp1,0.4156799912452698,0,0.7819520235061646,1.0246080160140991,0.213897578131877,0.5662275858808858,1.8823360484093428,1.0324192498404696,6392,1381,126
tp4_phase1_vision896,0,24,3,7,1.9999040365219116,0.9222080111503601,0.07718399912118912,0.20723199844360352,0.8339840173721313,0.2257279995828867,0.03049599938094616,0.04287999868392944,0.06006399914622307,0.09228800237178802,0.0,structurally_absent_tp4_ep4_dp1,0.43507200479507446,0,0.8082879781723022,1.0458879470825195,0.21754644065408268,0.5739955466711563,1.956223988905549,1.022328755737629,6392,1998,368
tp4_phase1_vision896,0,25,2,6,1.9795199632644653,0.903007984161377,0.07468800246715546,0.18681600689888,0.8145920038223267,0.2279680036008358,0.031488001346588135,0.0451200008392334,0.05827200040221214,0.09308800101280212,0.0,structurally_absent_tp4_ep4_dp1,0.4299519956111908,0,0.8018239736557007,1.0440640449523926,0.21720013113792927,0.5713385107251447,1.9327999614179134,1.0241721868683595,6392,2160,273
tp4_phase1_vision896,0,26,3,7,2.088063955307007,0.9237120151519775,0.07289600372314453,0.21007999777793884,0.8360639810562134,0.22457600012421608,0.030848000198602676,0.043168000876903534,0.060447998344898224,0.09011200070381165,0.0,structurally_absent_tp4_ep4_dp1,0.43331199884414673,0,0.8824959993362427,1.1320639848709106,0.20751854738110123,0.5499295231631741,2.0307840146124363,1.0282058260663933,6392,1267,166
tp4_phase1_vision896,0,27,3,7,2.357759952545166,1.2610880136489868,0.0767040029168129,0.22540800273418427,1.1736960411071777,0.21049599535763264,0.0307839997112751,0.031039999797940254,0.05603199824690819,0.0926399976015091,0.0,structurally_absent_tp4_ep4_dp1,0.4537599980831146,0,0.8216320276260376,1.0645439624786377,0.19245385756649552,0.6241449675222733,2.293216036632657,1.0281455889377455,6392,1886,266
tp4_phase1_vision896,0,28,3,7,2.0102078914642334,0.9308800101280212,0.0798719972372055,0.20364800095558167,0.8425920009613037,0.20435200072824955,0.029632000252604485,0.029440000653266907,0.05523199960589409,0.09004800021648407,0.0,structurally_absent_tp4_ep4_dp1,0.44966399669647217,0,0.8016639947891235,1.047327995300293,0.22369029522062883,0.5647336355989374,1.9368960056453943,1.0378501920625371,6392,1733,351
tp4_phase1_vision896,0,29,1,5,1.9778879880905151,0.895583987236023,0.07273600250482559,0.20076799392700195,0.8084800243377686,0.20544000156223774,0.030112000182271004,0.030912000685930252,0.054496001452207565,0.08991999924182892,0.0,structurally_absent_tp4_ep4_dp1,0.44700801372528076,0,0.8074560165405273,1.0498559474945068,0.22600269399321724,0.5566665025663091,1.908480005338788,1.036368200116095,6392,1614,382
