active_experts,inactive_experts,operation,repetition,host_visible_latency_us
1,63,gpu_counts_cumsum,0,23.426
1,63,gpu_counts_cumsum,1,20.867
1,63,gpu_counts_cumsum,2,19.658
1,63,gpu_counts_cumsum,3,19.15
1,63,gpu_counts_cumsum,4,18.392
1,63,gpu_counts_cumsum,5,18.742
1,63,gpu_counts_cumsum,6,18.62
1,63,gpu_counts_cumsum,7,18.826
1,63,gpu_counts_cumsum,8,18.238
1,63,gpu_counts_cumsum,9,18.694
1,63,gpu_counts_cumsum,10,18.438
1,63,gpu_counts_cumsum,11,17.908
1,63,gpu_counts_cumsum,12,18.15
1,63,gpu_counts_cumsum,13,18.703
1,63,gpu_counts_cumsum,14,18.353
1,63,gpu_counts_cumsum,15,17.854
1,63,gpu_counts_cumsum,16,18.385
1,63,gpu_counts_cumsum,17,21.688
1,63,gpu_counts_cumsum,18,17.678
1,63,gpu_counts_cumsum,19,18.346
1,63,gpu_counts_cumsum,20,18.166
1,63,gpu_counts_cumsum,21,18.035
1,63,gpu_counts_cumsum,22,17.84
1,63,gpu_counts_cumsum,23,18.756
1,63,gpu_counts_cumsum,24,18.035
1,63,gpu_counts_cumsum,25,18.245
1,63,gpu_counts_cumsum,26,18.213
1,63,gpu_counts_cumsum,27,18.303
1,63,gpu_counts_cumsum,28,18.38
1,63,gpu_counts_cumsum,29,18.3
1,63,gpu_counts_cumsum,30,18.18
1,63,gpu_counts_cumsum,31,18.497
1,63,gpu_counts_cumsum,32,17.735
1,63,gpu_counts_cumsum,33,17.839
1,63,gpu_counts_cumsum,34,17.87
1,63,gpu_counts_cumsum,35,18.069
1,63,gpu_counts_cumsum,36,18.371
1,63,gpu_counts_cumsum,37,18.106
1,63,gpu_counts_cumsum,38,18.423
1,63,gpu_counts_cumsum,39,18.405
1,63,cpu_list_to_cuda_offsets,0,47.392
1,63,cpu_list_to_cuda_offsets,1,41.551
1,63,cpu_list_to_cuda_offsets,2,38.797
1,63,cpu_list_to_cuda_offsets,3,39.678
1,63,cpu_list_to_cuda_offsets,4,36.432
1,63,cpu_list_to_cuda_offsets,5,34.733
1,63,cpu_list_to_cuda_offsets,6,45.442
1,63,cpu_list_to_cuda_offsets,7,40.995
1,63,cpu_list_to_cuda_offsets,8,36.159
1,63,cpu_list_to_cuda_offsets,9,35.71
1,63,cpu_list_to_cuda_offsets,10,35.571
1,63,cpu_list_to_cuda_offsets,11,35.011
1,63,cpu_list_to_cuda_offsets,12,35.127
1,63,cpu_list_to_cuda_offsets,13,34.834
1,63,cpu_list_to_cuda_offsets,14,35.373
1,63,cpu_list_to_cuda_offsets,15,35.297
1,63,cpu_list_to_cuda_offsets,16,35.267
1,63,cpu_list_to_cuda_offsets,17,35.668
1,63,cpu_list_to_cuda_offsets,18,35.48
1,63,cpu_list_to_cuda_offsets,19,35.152
1,63,cpu_list_to_cuda_offsets,20,34.68
1,63,cpu_list_to_cuda_offsets,21,33.989
1,63,cpu_list_to_cuda_offsets,22,34.921
1,63,cpu_list_to_cuda_offsets,23,37.971
1,63,cpu_list_to_cuda_offsets,24,38.814
1,63,cpu_list_to_cuda_offsets,25,39.674
1,63,cpu_list_to_cuda_offsets,26,37.226
1,63,cpu_list_to_cuda_offsets,27,61.021
1,63,cpu_list_to_cuda_offsets,28,46.391
1,63,cpu_list_to_cuda_offsets,29,40.009
1,63,cpu_list_to_cuda_offsets,30,39.185
1,63,cpu_list_to_cuda_offsets,31,38.731
1,63,cpu_list_to_cuda_offsets,32,37.412
1,63,cpu_list_to_cuda_offsets,33,37.217
1,63,cpu_list_to_cuda_offsets,34,37.376
1,63,cpu_list_to_cuda_offsets,35,38.416
1,63,cpu_list_to_cuda_offsets,36,38.743
1,63,cpu_list_to_cuda_offsets,37,38.157
1,63,cpu_list_to_cuda_offsets,38,38.758
1,63,cpu_list_to_cuda_offsets,39,38.531
1,63,vllm_make_from_list,0,28.206
1,63,vllm_make_from_list,1,22.725
1,63,vllm_make_from_list,2,21.442
1,63,vllm_make_from_list,3,21.124
1,63,vllm_make_from_list,4,21.282
1,63,vllm_make_from_list,5,20.623
1,63,vllm_make_from_list,6,20.373
1,63,vllm_make_from_list,7,19.454
1,63,vllm_make_from_list,8,19.762
1,63,vllm_make_from_list,9,20.067
1,63,vllm_make_from_list,10,20.868
1,63,vllm_make_from_list,11,20.791
1,63,vllm_make_from_list,12,20.933
1,63,vllm_make_from_list,13,27.427
1,63,vllm_make_from_list,14,28.275
1,63,vllm_make_from_list,15,20.032
1,63,vllm_make_from_list,16,19.905
1,63,vllm_make_from_list,17,20.388
1,63,vllm_make_from_list,18,20.827
1,63,vllm_make_from_list,19,21.04
1,63,vllm_make_from_list,20,21.186
1,63,vllm_make_from_list,21,21.398
1,63,vllm_make_from_list,22,20.015
1,63,vllm_make_from_list,23,19.575
1,63,vllm_make_from_list,24,19.416
1,63,vllm_make_from_list,25,20.829
1,63,vllm_make_from_list,26,19.636
1,63,vllm_make_from_list,27,19.589
1,63,vllm_make_from_list,28,20.755
1,63,vllm_make_from_list,29,19.504
1,63,vllm_make_from_list,30,20.141
1,63,vllm_make_from_list,31,19.397
1,63,vllm_make_from_list,32,19.498
1,63,vllm_make_from_list,33,20.787
1,63,vllm_make_from_list,34,20.22
1,63,vllm_make_from_list,35,20.068
1,63,vllm_make_from_list,36,20.177
1,63,vllm_make_from_list,37,20.016
1,63,vllm_make_from_list,38,19.981
1,63,vllm_make_from_list,39,19.268
2,62,gpu_counts_cumsum,0,19.216
2,62,gpu_counts_cumsum,1,19.727
2,62,gpu_counts_cumsum,2,19.313
2,62,gpu_counts_cumsum,3,19.204
2,62,gpu_counts_cumsum,4,19.331
2,62,gpu_counts_cumsum,5,19.574
2,62,gpu_counts_cumsum,6,19.231
2,62,gpu_counts_cumsum,7,18.523
2,62,gpu_counts_cumsum,8,18.973
2,62,gpu_counts_cumsum,9,18.943
2,62,gpu_counts_cumsum,10,23.906
2,62,gpu_counts_cumsum,11,25.108
2,62,gpu_counts_cumsum,12,27.041
2,62,gpu_counts_cumsum,13,26.982
2,62,gpu_counts_cumsum,14,25.091
2,62,gpu_counts_cumsum,15,25.904
2,62,gpu_counts_cumsum,16,25.737
2,62,gpu_counts_cumsum,17,28.69
2,62,gpu_counts_cumsum,18,25.384
2,62,gpu_counts_cumsum,19,25.798
2,62,gpu_counts_cumsum,20,26.903
2,62,gpu_counts_cumsum,21,27.059
2,62,gpu_counts_cumsum,22,26.023
2,62,gpu_counts_cumsum,23,37.09
2,62,gpu_counts_cumsum,24,27.136
2,62,gpu_counts_cumsum,25,24.725
2,62,gpu_counts_cumsum,26,25.218
2,62,gpu_counts_cumsum,27,25.377
2,62,gpu_counts_cumsum,28,25.254
2,62,gpu_counts_cumsum,29,25.277
2,62,gpu_counts_cumsum,30,26.176
2,62,gpu_counts_cumsum,31,25.945
2,62,gpu_counts_cumsum,32,25.601
2,62,gpu_counts_cumsum,33,26.063
2,62,gpu_counts_cumsum,34,26.957
2,62,gpu_counts_cumsum,35,26.577
2,62,gpu_counts_cumsum,36,25.531
2,62,gpu_counts_cumsum,37,25.077
2,62,gpu_counts_cumsum,38,25.219
2,62,gpu_counts_cumsum,39,26.145
2,62,cpu_list_to_cuda_offsets,0,74.782
2,62,cpu_list_to_cuda_offsets,1,55.126
2,62,cpu_list_to_cuda_offsets,2,55.521
2,62,cpu_list_to_cuda_offsets,3,90.251
2,62,cpu_list_to_cuda_offsets,4,55.751
2,62,cpu_list_to_cuda_offsets,5,54.499
2,62,cpu_list_to_cuda_offsets,6,58.447
2,62,cpu_list_to_cuda_offsets,7,59.545
2,62,cpu_list_to_cuda_offsets,8,64.046
2,62,cpu_list_to_cuda_offsets,9,58.719
2,62,cpu_list_to_cuda_offsets,10,56.468
2,62,cpu_list_to_cuda_offsets,11,54.305
2,62,cpu_list_to_cuda_offsets,12,38.765
2,62,cpu_list_to_cuda_offsets,13,37.017
2,62,cpu_list_to_cuda_offsets,14,36.562
2,62,cpu_list_to_cuda_offsets,15,35.832
2,62,cpu_list_to_cuda_offsets,16,35.48
2,62,cpu_list_to_cuda_offsets,17,35.328
2,62,cpu_list_to_cuda_offsets,18,34.613
2,62,cpu_list_to_cuda_offsets,19,52.968
2,62,cpu_list_to_cuda_offsets,20,38.822
2,62,cpu_list_to_cuda_offsets,21,36.466
2,62,cpu_list_to_cuda_offsets,22,35.95
2,62,cpu_list_to_cuda_offsets,23,35.797
2,62,cpu_list_to_cuda_offsets,24,36.017
2,62,cpu_list_to_cuda_offsets,25,35.063
2,62,cpu_list_to_cuda_offsets,26,34.853
2,62,cpu_list_to_cuda_offsets,27,35.517
2,62,cpu_list_to_cuda_offsets,28,34.803
2,62,cpu_list_to_cuda_offsets,29,35.335
2,62,cpu_list_to_cuda_offsets,30,34.647
2,62,cpu_list_to_cuda_offsets,31,34.762
2,62,cpu_list_to_cuda_offsets,32,34.975
2,62,cpu_list_to_cuda_offsets,33,33.941
2,62,cpu_list_to_cuda_offsets,34,33.932
2,62,cpu_list_to_cuda_offsets,35,34.454
2,62,cpu_list_to_cuda_offsets,36,34.526
2,62,cpu_list_to_cuda_offsets,37,34.991
2,62,cpu_list_to_cuda_offsets,38,34.423
2,62,cpu_list_to_cuda_offsets,39,35.228
2,62,vllm_make_from_list,0,49.178
2,62,vllm_make_from_list,1,27.22
2,62,vllm_make_from_list,2,22.131
2,62,vllm_make_from_list,3,20.6
2,62,vllm_make_from_list,4,20.656
2,62,vllm_make_from_list,5,20.747
2,62,vllm_make_from_list,6,20.972
2,62,vllm_make_from_list,7,20.665
2,62,vllm_make_from_list,8,22.561
2,62,vllm_make_from_list,9,20.948
2,62,vllm_make_from_list,10,21.022
2,62,vllm_make_from_list,11,20.332
2,62,vllm_make_from_list,12,21.117
2,62,vllm_make_from_list,13,22.346
2,62,vllm_make_from_list,14,21.519
2,62,vllm_make_from_list,15,22.085
2,62,vllm_make_from_list,16,20.831
2,62,vllm_make_from_list,17,21.239
2,62,vllm_make_from_list,18,20.773
2,62,vllm_make_from_list,19,20.723
2,62,vllm_make_from_list,20,20.731
2,62,vllm_make_from_list,21,21.134
2,62,vllm_make_from_list,22,21.224
2,62,vllm_make_from_list,23,21.471
