request_id,source,category,budget,layer,strategy,total_tokens,vision_tokens,vision_ratio,chunks,min_chunk,max_chunk,chunk_size_cv,all_tile_sum,all_padded_rows,all_assignments,all_active_expert_sum,all_median_expert_batch,all_p10_expert_batch,all_tiny_le_1_fraction,all_tiny_le_4_fraction,vision_tile_sum,vision_padded_rows,vision_assignments,vision_active_expert_sum,vision_median_expert_batch,vision_p10_expert_batch,vision_tiny_le_1_fraction,vision_tiny_le_4_fraction
coins,short,natural,128,31,fixed,128,108,0.84375,1,128,128,0.0,94.0,4992.0,1024.0,94.0,7.0,1.0,0.18085106382978725,0.35106382978723405,84.0,4512.0,864.0,84.0,7.0,1.0,0.17857142857142858,0.38095238095238093
coins,short,natural,128,32,fixed,128,108,0.84375,1,128,128,0.0,101.0,5440.0,1024.0,101.0,6.0,2.0,0.09900990099009901,0.43564356435643564,93.0,5088.0,864.0,93.0,6.0,1.0,0.16129032258064516,0.46236559139784944
coins,short,natural,128,33,fixed,128,108,0.84375,1,128,128,0.0,114.0,6272.0,1024.0,114.0,6.0,1.0,0.14912280701754385,0.4649122807017544,109.0,6112.0,864.0,109.0,4.0,1.0,0.1926605504587156,0.5137614678899083
coins,short,natural,128,34,fixed,128,108,0.84375,1,128,128,0.0,114.0,6272.0,1024.0,114.0,6.0,1.0,0.12280701754385964,0.39473684210526316,101.0,5600.0,864.0,101.0,5.0,1.0,0.12871287128712872,0.39603960396039606
coins,short,natural,128,35,fixed,128,108,0.84375,1,128,128,0.0,117.0,6464.0,1024.0,117.0,5.0,1.0,0.15384615384615385,0.41025641025641024,106.0,5920.0,864.0,106.0,4.0,1.0,0.19811320754716982,0.5188679245283019
coins,short,natural,128,36,fixed,128,108,0.84375,1,128,128,0.0,108.0,5888.0,1024.0,108.0,7.0,1.0,0.1574074074074074,0.39814814814814814,99.0,5472.0,864.0,99.0,6.0,1.0,0.2222222222222222,0.3939393939393939
coins,short,natural,128,37,fixed,128,108,0.84375,1,128,128,0.0,113.0,6208.0,1024.0,113.0,6.0,1.200000000000001,0.10619469026548672,0.4424778761061947,102.0,5664.0,864.0,102.0,5.0,1.0,0.16666666666666666,0.46078431372549017
coins,short,natural,128,38,fixed,128,108,0.84375,1,128,128,0.0,111.0,6080.0,1024.0,111.0,8.0,2.0,0.08108108108108109,0.3333333333333333,103.0,5728.0,864.0,103.0,7.0,1.0,0.14563106796116504,0.3883495145631068
coins,short,natural,128,39,fixed,128,108,0.84375,1,128,128,0.0,114.0,6272.0,1024.0,114.0,7.0,2.0,0.07894736842105263,0.3508771929824561,102.0,5664.0,864.0,102.0,6.0,2.0,0.0784313725490196,0.4019607843137255
coins,short,natural,128,40,fixed,128,108,0.84375,1,128,128,0.0,110.0,6016.0,1024.0,110.0,7.0,1.9000000000000004,0.1,0.3181818181818182,99.0,5472.0,864.0,99.0,6.0,1.0,0.1111111111111111,0.35353535353535354
